row_index,id,url,caption,processed_jpg,valid
0,1,https://www.birthdaywishes.expert/wp-content/uploads/2015/12/Good-night-image-with-puppy-and-quote.jpg,good night id been working like a dog i should be sleeping like a log,000001.jpg,1
1,2,https://us.123rf.com/450wm/amelisk/amelisk1612/amelisk161200423/66907761-vector-illustration-of-a-flat-design-of-the-house-stock-vector.jpg?ver=6,vector illustration of a flat design of the house,000002.jpg,1
2,3,https://www.pronovias.com/media/catalog/product/cache/small_image/9df78eab33525d08d6e5fb8d27136e95/e/l/elva_b.jpg,wedding dress with a v neck,000003.jpg,1
3,4,http://images.gmanews.tv/webpics/2016/11/640_2_2016_11_29_17_19_15.jpg,celebrities start decorating for the christmas season lifestyle,000004.jpg,1
4,5,https://us.123rf.com/450wm/olgakorneeva/olgakorneeva1405/olgakorneeva140500007/28403808-vintage-elegant-floral-card-with-frame-decorated-with-black-and-white-lilies-on-a-pink-background-ve.jpg,vintage elegant floral card with frame decorated with black and white lilies on a pink background .,000005.jpg,1
5,6,http://cdn.newsapi.com.au/image/v1/af347cd6569987c49a71fe05870753c5?width=1024,racecar driver steers his car during video game subject .,000006.jpg,1
6,7,https://www.papercitymag.com/wp-content/uploads/2017/06/Menil-40-680x1024.jpg,"museum , opened is among the 20th - century 's most significant buildings .",000007.jpg,1
7,8,https://media.gettyimages.com/photos/bryan-mccabe-of-the-toronto-maple-leafs-skates-against-the-new-jersey-picture-id73480619?k=6&m=73480619&s=612x612&w=0&h=99aa-OK9NQ_tJCllsuA5vifiFfxD-EW13TNYlg9m9D8=,# of the sports team skates against sports team during their game .,000008.jpg,1
8,9,http://img.bleacherreport.net/img/images/photos/003/558/542/hi-res-25da6f4fff0b052f7c72a5af985559ff_crop_north.jpg?h=533&w=800&q=70&crop_x=center&crop_y=top,american football player looks downfield during the second half of a football game against sports team,000009.jpg,1
9,10,https://prismpub.com/wp-content/uploads/2016/11/Chicago-Riverwalk_graphic_13.jpg,the jetty : different types of plants to establish a variety of ecosystems .,000010.jpg,1
10,11,http://www.bigmapblog.com/maps/map03/dd/VWRSnlghGIYLzqon_DD.jpg,"map showing routes of principal explorers , from 1501 to image detail",000011.jpg,1
11,12,https://us.123rf.com/450wm/artvitdiz/artvitdiz1505/artvitdiz150500153/39598311-safe-deposit-with-money-around-it-on-a-white-background.jpg?ver=6,safe deposit with money around it on a white background photo,000012.jpg,1
12,13,https://today.duke.edu/sites/default/files/styles/story_body/public/Jewelry%20HERO.jpg?itok=_RWZa3vk,"a necklace , charm bracelet and set of earrings with logos .",000013.jpg,1
13,14,https://ak8.picdn.net/shutterstock/videos/33469738/thumb/1.jpg,breakdown of the car on the road .,000014.jpg,1
14,15,https://ak3.picdn.net/shutterstock/videos/3901463/thumb/4.jpg?i10c=img.resize(height:160),the sign for a city .,000015.jpg,1
15,16,https://ak8.picdn.net/shutterstock/videos/5281628/thumb/1.jpg,tree branches swing at real time with the wind while clouds move fast in time lapse,000016.jpg,1
16,17,https://ak4.picdn.net/shutterstock/videos/18564824/thumb/1.jpg,heavy snow falls over a snow lined river .,000017.jpg,1
17,18,https://media.gettyimages.com/photos/brandon-knight-of-the-milwaukee-bucks-looks-to-pass-the-ball-against-picture-id185732593?k=6&m=185732593&s=612x612&w=0&h=C3llJ9Jbr0Rs71WGoPJ9WV8ealH9ig1YZcx1S9qfJsU=,basketball point guard looks to pass the ball against sports team .,000018.jpg,1
18,19,https://us.123rf.com/450wm/giulianni/giulianni1606/giulianni160600002/58310804-blue-and-pink-wavy-shiny-ribbon-on-a-dark-background.jpg?ver=6,blue and pink wavy shiny ribbon on a dark background vector,000019.jpg,1
19,20,https://ak8.picdn.net/shutterstock/videos/23295238/thumb/1.jpg,"birds fly up to the feeder and take seeds , snow on trees , falling snowflakes for the birdhouse",000020.jpg,1
20,21,https://media.gettyimages.com/photos/vocalist-justin-warfield-of-she-wants-revenge-performs-at-day-3-of-picture-id112298213?k=6&m=112298213&s=612x612&w=0&h=ZVm8AG2XNkTuw2NYkXHnLMTCoaBpq5WAJr2HQ9PenXM=,artist of musical group performs at day of the festival .,000021.jpg,1
21,22,https://ak1.picdn.net/shutterstock/videos/15389011/thumb/9.jpg,country shape animated on the satellite map of the globe,000022.jpg,1
22,23,https://tbcdn.talentbrew.com/company/7795/v1_1/img/IowaSpotlight05.jpg,a snapshot of our office .,000023.jpg,1
23,24,http://www.urban75.org/photos/protest/images/nhs-protest-whitehall-march-2012-24.jpg,save organisation : photos outside government agency,000024.jpg,1
